Sport,all_count,age_all_std,age_all_mean,height_all_count,height_all_std,height_all_mean,weight_all_count,weight_all_std,weight_all_mean,weight_met_all_std,weight_met_all_mean,height_met_all_std,height_met_all_mean,weight_emp_all_std,weight_emp_all_mean,height_emp_all_std,height_emp_all_mean,winner_count,age_winner_mean,age_winner_std,height_winner_count,height_winner_mean,height_winner_std,weight_winner_count,weight_winner_mean,weight_winner_std,weight_met_winner_mean,weight_met_winner_std,height_met_winner_mean,height_met_winner_std,weight_emp_winner_mean,weight_emp_winner_std,height_emp_winner_mean,height_emp_winner_std,pct_athletes_winners,pct_total_medals,weight_winner_z_score,age_winner_z_score,height_winner_z_score
Alpine Skiing,6322.0,3.944299781693414,23.338184118949698,6322.0,7.856273877472151,173.51692502372666,6322.0,11.29118744218199,72.08264789623537,11.29118744218199,72.08264789623537,7.856273877472151,173.51692502372666,24.89280726201843,158.91503619128324,3.093022881834675,68.31378689876745,354.0,24.508474576271187,3.8419462785894223,354.0,173.6581920903955,7.746266804946867,354.0,72.78248587570621,12.035152880253523,72.78248587570621,12.035152880253523,173.6581920903955,7.746266804946867,160.45791483242084,26.53297029662836,68.3694038841808,3.049712987374384,0.055994938310661185,0.011745578818142605,0.0,0.0,0.0
Archery,1883.0,6.712388585552815,26.272968667020713,1883.0,8.477095702042728,173.24960169941582,1883.0,12.929067163033427,70.01486988847584,12.929067163033427,70.01486988847584,8.477095702042728,173.24960169941582,28.50371394639502,154.35636601851718,3.337441054989923,68.20854143866171,206.0,24.79126213592233,5.599662129112601,206.0,173.3495145631068,7.998425135065666,206.0,70.83252427184466,13.107523828475081,70.83252427184466,13.107523828475081,173.3495145631068,7.998425135065666,156.1589853689064,28.897143548038716,68.2478772330097,3.1489879741004883,0.10939989378651088,0.006834997843325924,0.0,0.0,0.0
Athletics,32374.0,4.407143983124896,25.330203249521222,32374.0,9.334547419413779,176.27645641564217,32374.0,15.420489518642363,69.27373818496324,15.420489518642363,69.27373818496324,9.334547419413779,176.27645641564217,33.99636003202877,152.72245029922038,3.675020653570595,69.40021716728884,3648.0,25.09950657894737,4.04745903329791,3648.0,177.62746710526315,9.115514482266274,3648.0,71.51315789473684,15.784866642520045,71.51315789473684,15.784866642520045,177.62746710526315,9.115514482266274,157.65952565109174,34.79967408219593,69.93211142680839,3.588787167182706,0.11268301723605362,0.12103918510899499,0.0,0.0,0.0
Badminton,1362.0,3.8830894214785854,25.80029368575624,1362.0,8.538623864850663,174.2202643171806,1362.0,9.389667080937757,68.17143906020559,9.389667080937757,68.17143906020559,8.538623864850663,174.2202643171806,20.70067245780618,150.29229671278918,3.3616647542155804,68.59069228193832,154.0,25.493506493506494,3.34751249612638,154.0,174.5909090909091,7.691446430143026,154.0,67.83766233766234,7.92404364590658,67.83766233766234,7.92404364590658,174.5909090909091,7.691446430143026,149.55644499964035,17.46952587789618,68.7366155,3.0281301509937375,0.1130690161527166,0.005109658581903846,0.0,0.0,0.0
Baseball,846.0,4.550422377182453,26.3096926713948,846.0,6.785222332389877,182.59929078014184,846.0,9.67012194032098,85.71808510638297,9.67012194032098,85.71808510638297,6.785222332389877,182.59929078014184,21.318969585196143,188.97602952290967,2.6713488174842235,71.88952337943256,333.0,26.255255255255257,4.369701026173585,333.0,182.42942942942943,6.590334194405513,333.0,85.77777777777777,9.858877040141902,85.77777777777777,9.858877040141902,182.42942942942943,6.590334194405513,189.1076293366222,21.73510334824148,71.82264879579583,2.594621162671643,0.39361702127659576,0.011048807193337536,0.0,0.0,0.0
Basketball,3668.0,3.9065723070964227,25.453925845147218,3668.0,11.49388015679284,191.22655398037077,3668.0,14.827003572530076,85.80179934569247,14.827003572530076,85.80179934569247,11.49388015679284,191.22655398037077,32.68794748950924,189.16058782865755,4.525152111609501,75.28608552862605,1000.0,25.297,3.942630509613516,1000.0,192.153,12.106203003053892,1000.0,86.692,15.701263186943452,86.692,15.701263186943452,192.153,12.106203003053892,191.12314432908562,34.6153600127711,75.650828253,4.766224228505325,0.27262813522355506,0.0331796011811938,0.0,0.0,0.0
Beach Volleyball,538.0,4.198318098004011,29.135687732342006,538.0,9.377944365136752,186.20260223048328,538.0,12.246666971196174,79.08921933085502,12.246666971196174,79.08921933085502,9.377944365136752,186.20260223048328,26.99927904634999,174.36188207730464,3.692106074498708,73.30815070074352,68.0,29.61764705882353,4.125021616459708,68.0,186.8235294117647,9.803960784235292,68.0,79.63235294117646,12.672575174178885,79.63235294117646,12.672575174178885,186.8235294117647,9.803960784235292,175.55928672127956,27.938245905455837,73.55261035294116,3.8598291647142244,0.12639405204460966,0.0022562128803211784,0.0,0.0,0.0
Biathlon,4615.0,4.241076017120314,26.6578548212351,4615.0,8.470882826762544,174.05200433369447,4615.0,9.543594726528505,66.6314192849404,9.543594726528505,66.6314192849404,8.470882826762544,174.05200433369447,21.04002482739592,146.89713427822045,3.334995039779241,68.52444815817981,388.0,27.012886597938145,4.054835874804658,388.0,174.52835051546393,7.988474925734908,388.0,66.92912371134021,8.94409870002089,66.92912371134021,8.94409870002089,174.52835051546393,7.988474925734908,147.55346019127134,19.718362325678022,68.71198612628876,3.14507056673676,0.08407367280606717,0.012873685258303196,0.0,0.0,0.0
Bobsleigh,2205.0,4.92222224498222,28.650793650793652,2205.0,6.6020275539167965,181.60861678004534,2205.0,10.630713725592914,89.16167800453515,10.630713725592914,89.16167800453515,6.6020275539167965,181.60861678004534,23.436711965321912,196.56785232644572,2.5992248500045916,71.49949403492079,283.0,29.3321554770318,4.263808350465583,283.0,182.20848056537102,6.801830074618344,283.0,90.07773851590106,11.473109132463884,90.07773851590106,11.473109132463884,182.20848056537102,6.801830074618344,198.58742005274055,25.293875935810046,71.73566100706715,2.6778873022073175,0.12834467120181406,0.009389827134277846,0.0,0.0,0.0
Boxing,4363.0,3.411160500804212,23.286729314691726,4363.0,9.473090195570263,172.86752234700893,4363.0,13.103848307481714,65.31423332569334,13.103848307481714,65.31423332569334,9.473090195570263,172.86752234700893,28.8890404113099,143.99323631534534,3.729565083086199,68.05811641554007,708.0,23.323446327683616,3.3046473621345553,708.0,174.3093220338983,10.203118090854446,708.0,67.44562146892656,14.527867014155275,67.44562146892656,14.527867014155275,174.3093220338983,10.203118090854446,148.69214283175535,32.028464265908774,68.62575439406777,4.0169777954874855,0.16227366490946596,0.02349115763628521,0.0,0.0,0.0
